 REP CMDT, CMDT Code, CMDT - Commodity
6400,640504,"SLIPPER SOCKS WITH SYNTHETIC SOLES, NOS"
6500,650000,HEADGEAR AND PARTS; NOS
6500,650001,"CAPS AND HATS, NOS"
6500,650002,"PAPER HATS, NOS"
6500,650400,"STRAW HATS, TWISTED TOYO HOODS, NOS"
6500,650600,"HELMETS, NOS"
6500,650601,"BOUFFANT CAPS, NOS;"
6500,650602,"HEADWEAR, NOS;"
6600,660000,"UMBRELLAS, WALKING-STICKS, WHIPS, RIDING-CROPS AND PARTS; NOS"
6600,660001,"PARASOLS AND UMBRELLAS, NOS:"
6600,660002,"UMBRELLA, NOS"
6600,660100,"WALKING STICKS, NOS"
6700,670000,"ARTIFICIAL DECORATIONS, ORNAMENTS, FLOWERS OF ALL KINDS, NOS"
6700,670001,"ARTIFICIAL FLOWER, NOS;"
6700,670004,"SILK FLOWER, NOS;"
6700,670005,"LATEX FLOWER, NOS;"
6700,670006,"TURF, ARTIFICIAL, NOS;"
6701,670100,CHRISTMAS DECORATIONS
6700,670200,"PLASTIC FLOWERS, NOS"
6700,670201,"ARTIFICAL TREES, NOS"
6700,670202,"ARTIFICIAL PLANTS, NOS"
6700,670203,"BOTANICALS AND DRIED FLOWERS, NOS;"
6700,670300,"HAIR GOODS, HUMAN, NOS"
6703,670301,"WIGS, NOS"
6700,670302,"HAIR GOODS, NOS"
6700,670303,"HAIR GOODS/HAIR PRODUCTS AND ACCESSORIES, NOS"
6700,670304,"HAIR ACCESSORIES, NOS"
6700,670305,"HAIR PRODUCTS AND ACCESSORIES, NOS;"
6700,670400,"SYNTHETIC HAIR, WIGS, NOS"
6800,680000,"STONE, PLASTER, CEMENT, ASBESTOES, MICA ARTICLES; NOS"
6800,680001,"STONE GOODS, NOS"
6800,680002,"STONEWARE, NOS:"
6800,680004,"CLAY POT, NOS"
6800,680005,"STONE FLAT FOR ROOFING, NOS"
6800,680006,"STONEWARE, PLATES AND BOWLS, NOS"
6800,680008,"BUILDING MATERIAL, GROUT, NOS"
6800,680010,"MARBLE CERAMIC TILE, NOS"
6800,680011,"STONEWARE MUGS, NOS"
6800,680012,"MOULDING, SHELVING; NOS"
6800,680013,"MINERAL FIBER, PROCESSED, NOS"
6800,680014,"PLASTER OF PARIS, PACKED, NOS"
6800,680016,"LAVA ROCK, NOS"
6800,680017,"CEILING MATERIAL, NOS"
6800,680018,"CARPETING INSULATION MATERIALS, NOS:"
6800,680019,"BRICKS, NOS"
6800,680020,"CEILING BOARD, NOS"
6800,680022,"BUILDING AND CONSTRUCTION MATERIALS, ALUMINUM, NOS"
6800,680023,"PANELS, SIDING OR ROOFING, NOS"
6800,680024,"ARTIFICIAL ROCKS, NOS"
6800,680200,"STONE TILES, NOS"
6800,680201,"PLASTER POWDER, NOS"
6800,680202,"MARBLE, ARTIFICIAL, NOS"
6800,680204,"MARBLE TILES, NOS"
6800,680400,"ABRASIVE WHEELS, NOS"
6800,680401,"ABRASIVE, NOS"
6800,680402,GRINDING WHEELS AND COMPOUNDS; NOS
6800,680500,"ABRASIVE SANDPAPER AND SANDCLOTH, NOS"
6800,680501,"ABRASIVE CLOTH, IN ROLLS, NOS"
6800,680502,"COATED ABRASIVE, NOS"
6800,680504,"ABRASIVE GRAINS, NOS"
6800,680600,"FOAM WASTE, NOS"
6800,680701,"SEALANTS, NOS"
6800,680702,"ROOFING ASPHALT, IN ROLLS, NOS"
6800,680703,"ROOFING SHINGLES/ARTICLES OF BUILDING PAPERS/BUILDING, NOS:"
6800,680704,"CONCRETE PANEL, NOS"
6800,680800,"TILE, CLAYS, NOS"
6800,680801,"CEILING PANELS, NOS"
6800,680802,"WOODEN AND PLASTER WALL PANELS, NOS"
6800,680803,"PANEL BRICKS, NOS"
6800,680900,"PLASTER AND PLASTER ARTICLES, NOS"
6800,681000,"CEMENT BUDDHA STATUES, NOS"
6800,681002,"TERAZZO, TILE, NOS"
6800,681400,"STONE PLATE, NOS"
